Census 2021 Data Zone Code,Census 2021 Data Zone Label,Household Deprivation Code,Household Deprivation Label,Count
N20001601,Causeway_C2,1,Household is not deprived in any dimension,62
N20001601,Causeway_C2,2,Household is deprived in 1 dimension,64
N20001601,Causeway_C2,3,Household is deprived in 2 dimensions,45
N20001601,Causeway_C2,4,Household is deprived in 3 dimensions,21
N20001601,Causeway_C2,5,Household is deprived in 4 dimensions,2
N20001602,Causeway_J1,1,Household is not deprived in any dimension,92
N20001602,Causeway_J1,2,Household is deprived in 1 dimension,68
N20001602,Causeway_J1,3,Household is deprived in 2 dimensions,23
N20001602,Causeway_J1,4,Household is deprived in 3 dimensions,4
N20001602,Causeway_J1,5,Household is deprived in 4 dimensions,1
N20001603,Causeway_B2,1,Household is not deprived in any dimension,75
N20001603,Causeway_B2,2,Household is deprived in 1 dimension,79
N20001603,Causeway_B2,3,Household is deprived in 2 dimensions,58
N20001603,Causeway_B2,4,Household is deprived in 3 dimensions,22
N20001603,Causeway_B2,5,Household is deprived in 4 dimensions,2
N20001604,Causeway_B3,1,Household is not deprived in any dimension,110
N20001604,Causeway_B3,2,Household is deprived in 1 dimension,88
N20001604,Causeway_B3,3,Household is deprived in 2 dimensions,45
N20001604,Causeway_B3,4,Household is deprived in 3 dimensions,21
N20001604,Causeway_B3,5,Household is deprived in 4 dimensions,7
N20001605,Causeway_C3,1,Household is not deprived in any dimension,31
N20001605,Causeway_C3,2,Household is deprived in 1 dimension,58
N20001605,Causeway_C3,3,Household is deprived in 2 dimensions,47
N20001605,Causeway_C3,4,Household is deprived in 3 dimensions,19
N20001605,Causeway_C3,5,Household is deprived in 4 dimensions,0
N20001606,Causeway_C4,1,Household is not deprived in any dimension,53
N20001606,Causeway_C4,2,Household is deprived in 1 dimension,33
N20001606,Causeway_C4,3,Household is deprived in 2 dimensions,28
N20001606,Causeway_C4,4,Household is deprived in 3 dimensions,2
N20001606,Causeway_C4,5,Household is deprived in 4 dimensions,0
N20001607,Causeway_D1,1,Household is not deprived in any dimension,68
N20001607,Causeway_D1,2,Household is deprived in 1 dimension,81
N20001607,Causeway_D1,3,Household is deprived in 2 dimensions,54
N20001607,Causeway_D1,4,Household is deprived in 3 dimensions,18
N20001607,Causeway_D1,5,Household is deprived in 4 dimensions,1
N20001608,Causeway_D2,1,Household is not deprived in any dimension,42
N20001608,Causeway_D2,2,Household is deprived in 1 dimension,63
N20001608,Causeway_D2,3,Household is deprived in 2 dimensions,37
N20001608,Causeway_D2,4,Household is deprived in 3 dimensions,20
N20001608,Causeway_D2,5,Household is deprived in 4 dimensions,3
N20001609,Causeway_E1,1,Household is not deprived in any dimension,75
N20001609,Causeway_E1,2,Household is deprived in 1 dimension,41
N20001609,Causeway_E1,3,Household is deprived in 2 dimensions,8
N20001609,Causeway_E1,4,Household is deprived in 3 dimensions,3
N20001609,Causeway_E1,5,Household is deprived in 4 dimensions,0
N20001610,Causeway_D3,1,Household is not deprived in any dimension,104
N20001610,Causeway_D3,2,Household is deprived in 1 dimension,90
N20001610,Causeway_D3,3,Household is deprived in 2 dimensions,34
N20001610,Causeway_D3,4,Household is deprived in 3 dimensions,12
N20001610,Causeway_D3,5,Household is deprived in 4 dimensions,0
N20001611,Causeway_E2,1,Household is not deprived in any dimension,108
N20001611,Causeway_E2,2,Household is deprived in 1 dimension,91
N20001611,Causeway_E2,3,Household is deprived in 2 dimensions,47
N20001611,Causeway_E2,4,Household is deprived in 3 dimensions,4
N20001611,Causeway_E2,5,Household is deprived in 4 dimensions,0
N20001612,Causeway_D4,1,Household is not deprived in any dimension,46
N20001612,Causeway_D4,2,Household is deprived in 1 dimension,56
N20001612,Causeway_D4,3,Household is deprived in 2 dimensions,75
N20001612,Causeway_D4,4,Household is deprived in 3 dimensions,34
N20001612,Causeway_D4,5,Household is deprived in 4 dimensions,2
N20001613,Causeway_E3,1,Household is not deprived in any dimension,132
N20001613,Causeway_E3,2,Household is deprived in 1 dimension,82
N20001613,Causeway_E3,3,Household is deprived in 2 dimensions,17
N20001613,Causeway_E3,4,Household is deprived in 3 dimensions,2
N20001613,Causeway_E3,5,Household is deprived in 4 dimensions,0
N20001614,Causeway_E4,1,Household is not deprived in any dimension,79
N20001614,Causeway_E4,2,Household is deprived in 1 dimension,90
N20001614,Causeway_E4,3,Household is deprived in 2 dimensions,47
N20001614,Causeway_E4,4,Household is deprived in 3 dimensions,15
N20001614,Causeway_E4,5,Household is deprived in 4 dimensions,0
N20001615,Causeway_E5,1,Household is not deprived in any dimension,136
N20001615,Causeway_E5,2,Household is deprived in 1 dimension,94
N20001615,Causeway_E5,3,Household is deprived in 2 dimensions,23
N20001615,Causeway_E5,4,Household is deprived in 3 dimensions,1
N20001615,Causeway_E5,5,Household is deprived in 4 dimensions,0
N20001616,Causeway_F1,1,Household is not deprived in any dimension,126
N20001616,Causeway_F1,2,Household is deprived in 1 dimension,80
N20001616,Causeway_F1,3,Household is deprived in 2 dimensions,40
N20001616,Causeway_F1,4,Household is deprived in 3 dimensions,12
N20001616,Causeway_F1,5,Household is deprived in 4 dimensions,0
N20001617,Causeway_J2,1,Household is not deprived in any dimension,85
N20001617,Causeway_J2,2,Household is deprived in 1 dimension,70
N20001617,Causeway_J2,3,Household is deprived in 2 dimensions,32
N20001617,Causeway_J2,4,Household is deprived in 3 dimensions,7
N20001617,Causeway_J2,5,Household is deprived in 4 dimensions,0
N20001618,Causeway_E6,1,Household is not deprived in any dimension,115
N20001618,Causeway_E6,2,Household is deprived in 1 dimension,60
N20001618,Causeway_E6,3,Household is deprived in 2 dimensions,24
N20001618,Causeway_E6,4,Household is deprived in 3 dimensions,1
N20001618,Causeway_E6,5,Household is deprived in 4 dimensions,0
N20001619,Causeway_A3,1,Household is not deprived in any dimension,63
N20001619,Causeway_A3,2,Household is deprived in 1 dimension,52
N20001619,Causeway_A3,3,Household is deprived in 2 dimensions,34
N20001619,Causeway_A3,4,Household is deprived in 3 dimensions,5
N20001619,Causeway_A3,5,Household is deprived in 4 dimensions,0
N20001620,Causeway_F2,1,Household is not deprived in any dimension,68
N20001620,Causeway_F2,2,Household is deprived in 1 dimension,57
N20001620,Causeway_F2,3,Household is deprived in 2 dimensions,30
N20001620,Causeway_F2,4,Household is deprived in 3 dimensions,8
N20001620,Causeway_F2,5,Household is deprived in 4 dimensions,0
N20001621,Causeway_G1,1,Household is not deprived in any dimension,124
N20001621,Causeway_G1,2,Household is deprived in 1 dimension,82
N20001621,Causeway_G1,3,Household is deprived in 2 dimensions,52
N20001621,Causeway_G1,4,Household is deprived in 3 dimensions,9
N20001621,Causeway_G1,5,Household is deprived in 4 dimensions,3
N20001622,Causeway_G2,1,Household is not deprived in any dimension,44
N20001622,Causeway_G2,2,Household is deprived in 1 dimension,74
N20001622,Causeway_G2,3,Household is deprived in 2 dimensions,63
N20001622,Causeway_G2,4,Household is deprived in 3 dimensions,32
N20001622,Causeway_G2,5,Household is deprived in 4 dimensions,6
N20001623,Causeway_F3,1,Household is not deprived in any dimension,119
N20001623,Causeway_F3,2,Household is deprived in 1 dimension,69
N20001623,Causeway_F3,3,Household is deprived in 2 dimensions,25
N20001623,Causeway_F3,4,Household is deprived in 3 dimensions,1
N20001623,Causeway_F3,5,Household is deprived in 4 dimensions,0
N20001624,Causeway_F4,1,Household is not deprived in any dimension,99
N20001624,Causeway_F4,2,Household is deprived in 1 dimension,66
N20001624,Causeway_F4,3,Household is deprived in 2 dimensions,16
N20001624,Causeway_F4,4,Household is deprived in 3 dimensions,3
N20001624,Causeway_F4,5,Household is deprived in 4 dimensions,0
N20001625,Causeway_F5,1,Household is not deprived in any dimension,41
N20001625,Causeway_F5,2,Household is deprived in 1 dimension,29
N20001625,Causeway_F5,3,Household is deprived in 2 dimensions,31
N20001625,Causeway_F5,4,Household is deprived in 3 dimensions,6
N20001625,Causeway_F5,5,Household is deprived in 4 dimensions,0
N20001626,Causeway_G3,1,Household is not deprived in any dimension,64
N20001626,Causeway_G3,2,Household is deprived in 1 dimension,99
N20001626,Causeway_G3,3,Household is deprived in 2 dimensions,74
N20001626,Causeway_G3,4,Household is deprived in 3 dimensions,24
N20001626,Causeway_G3,5,Household is deprived in 4 dimensions,3
N20001627,Causeway_K1,1,Household is not deprived in any dimension,101
N20001627,Causeway_K1,2,Household is deprived in 1 dimension,91
N20001627,Causeway_K1,3,Household is deprived in 2 dimensions,55
N20001627,Causeway_K1,4,Household is deprived in 3 dimensions,14
N20001627,Causeway_K1,5,Household is deprived in 4 dimensions,2
N20001628,Causeway_H1,1,Household is not deprived in any dimension,59
N20001628,Causeway_H1,2,Household is deprived in 1 dimension,42
N20001628,Causeway_H1,3,Household is deprived in 2 dimensions,14
N20001628,Causeway_H1,4,Household is deprived in 3 dimensions,2
N20001628,Causeway_H1,5,Household is deprived in 4 dimensions,0
N20001629,Causeway_G4,1,Household is not deprived in any dimension,38
N20001629,Causeway_G4,2,Household is deprived in 1 dimension,82
N20001629,Causeway_G4,3,Household is deprived in 2 dimensions,58
